Modem_Id,User_IF,Modem_IF,Storage_IF,Diag_IF
0408:ea02,2,0,"",1
0408:ea03,2,0,"",1
0408:ea04,2,0,"",1
0408:ea05,2,0,"",1
0408:ea06,2,0,"",1
0408:ea16,1,2,4,0
0408:ea26,1,2,4,0
0408:ea42,2,3,0,1
0408:ea47,0,3,5,""
05c6:00a0,2,0,-,1
05c6:3100,-,0,-,-
05c6:3196,-,0,-,-
05c6:3197,-,0,-,1
05c6:6000,2,0,4,1
05c6:6500,2,0,-,1
05c6:9000,-,3,2,1
07d1:3e01,2,0,4,1
07d1:3e02,2,0,4,1
07d1:7e07,"",3,"",""
07d1:7e0c,2,0,"",""
07d1:7e11,1,3,2,""
0930:0d45,2,0,"",""
0af0:4005,2,1,"",""
0af0:6901,"",0,-,""
0af0:6901,"",0,"",""
0b3c:c000,2,0,-,1
0b3c:c001,2,0,-,1
0b3c:c002,2,0,-,1
0b3c:c003,"",5,4,""
0b3c:c004,"",0,"",""
0b3c:c005,"",0,"",""
0b3c:c00a,"",5,4,""
0b3c:c00b,1,3,2,0
0bdb:1900,"",1,"",""
0bdb:1902,"",1,"",""
0bdb:1904,"",1,"",""
0bdb:1905,"",1,"",""
0bdb:1906,"",1,"",""
0bdb:1907,"",1,"",""
0bdb:1909,"",1,"",""
0bdb:190a,"",1,"",""
0bdb:190d,"",1,"",""
0bdb:190e,"",1,"",""
0bdb:190f,"",1,"",""
0bdb:1910,"",1,"",""
0c88:17da,"",0,"",""
0c88:180a,"",0,"",""
0e8d:00a1,1,0,-,2
0e8d:00a2,1,0,-,2
0e8d:00a4,2,0,"",""
0e8d:00a5,3,2,6,5
0e8d:00a7,3,2,6,5
0f3d:68aa,3,4,9,1
1004:618f,0,2,-,1
1004:6326,0,2,"",1
106c:3711,"",0,3,""
106c:3714,"",0,3,""
106c:3715,2,0,3,1
106c:3716,"",0,5,""
106c:3717,"",0,"",""
106c:3718,"",0,6,2
106c:3721,"",0,6,2
1199:0017,3,4,"",1
1199:0018,3,4,"",1
1199:0019,3,4,"",1
1199:0020,3,4,"",1
1199:0021,3,4,"",1
1199:0022,3,4,"",1
1199:0023,3,4,"",1
1199:0024,3,4,"",1
1199:0025,3,4,"",1
1199:0027,3,4,9,1
1199:0028,3,4,"",1
1199:0112,3,4,"",1
1199:0120,3,4,"",1
1199:0218,3,4,"",1
1199:0220,3,4,"",1
1199:0224,3,4,"",1
1199:0301,3,4,"",1
1199:,3,4,9,1
1199:6802,"",0,"",""
1199:6803,"",0,"",""
1199:6804,"",0,"",""
1199:6805,"",0,"",""
1199:6808,"",0,"",""
1199:6809,"",0,"",""
1199:6812,"",0,"",""
1199:6813,"",0,"",""
1199:6815,"",0,"",""
1199:6816,"",0,"",""
1199:6832,"",0,"",""
1199:6833,"",0,"",""
1199:6834,"",0,"",""
1199:6835,"",0,"",""
